star1_rad star2_rad bin_period bin_inc bin_t0 bin_rv_com ext_f153m ext_alpha
1.401065219174488163e+01 1.360313230330588219e+01 2.521667803542515074e+01 7.465761688821274333e+01 5.379993808467507915e+04 1.463889412852713861e+02 4.545121508461009263e+00 2.218739544486815873e+00
1.380716271287287888e+01 1.362091871201647564e+01 2.498805153783177602e+01 7.401733539570449238e+01 5.380000281138824357e+04 1.440352672628988557e+02 4.533300902399578725e+00 2.226457042331508429e+00
1.462003457438038545e+01 1.258951016696711633e+01 2.508038698201341532e+01 7.393237139865746599e+01 5.379993211769319896e+04 1.444923117853261374e+02 4.521454886657312322e+00 2.231807393206252321e+00
1.300974611018019189e+01 1.436867565059275265e+01 2.530566033833560979e+01 7.511561254153387779e+01 5.379986442803830869e+04 1.411384820307900441e+02 4.530749776184538113e+00 2.224471900648619549e+00
1.407112819759597855e+01 1.422032755372403656e+01 2.525904982696531675e+01 1.056807566205176983e+02 5.379991870225538150e+04 1.423780414698558161e+02 4.597623890250986278e+00 2.193410905792559262e+00
1.447890929515696534e+01 1.409599120305127329e+01 2.510074856610028604e+01 1.063295343769504768e+02 5.379994416243660817e+04 1.513923661321429393e+02 4.602285529965653765e+00 2.200544244813216199e+00
1.403437923210059779e+01 1.313823470874941002e+01 2.498966746928725513e+01 1.055684173723075787e+02 5.380004467224376276e+04 1.458637612596088502e+02 4.513925634941126752e+00 2.240289011650820505e+00
1.301235568209872362e+01 1.377284735214919031e+01 2.538151868746500028e+01 7.542557578187185641e+01 5.379984038654773758e+04 1.482669129402197825e+02 4.495506263189577467e+00 2.242559486914149858e+00
1.437835769699191246e+01 1.369665537972337788e+01 2.519345131430652884e+01 7.419259108113868706e+01 5.379988911245418421e+04 1.483802872202605840e+02 4.573686873049900292e+00 2.208229776562645519e+00
1.411080793934861077e+01 1.323555737111512975e+01 2.491986914040194989e+01 1.056104714077186628e+02 5.380005033122819441e+04 1.484382645859098204e+02 4.528047592671929245e+00 2.228302905200088890e+00
1.421156687892346682e+01 1.335186430889323006e+01 2.502095798007012561e+01 7.354064658604043814e+01 5.380000100058675162e+04 1.421238887091691936e+02 4.545192157657504950e+00 2.222161965417510654e+00
1.400488099878410253e+01 1.384570119154483159e+01 2.512833010075386753e+01 7.453510934509712627e+01 5.379994916253656265e+04 1.448754639043148131e+02 4.561582556417739909e+00 2.216135624388443137e+00
1.381739979437251264e+01 1.375064211363201672e+01 2.505979968523755019e+01 1.057435527624745362e+02 5.379998853291208070e+04 1.460107212828965544e+02 4.537002581904824083e+00 2.227243112208330267e+00
1.490266015369056340e+01 1.234094170293114345e+01 2.496405581239172022e+01 1.054526953815252170e+02 5.379999600322078913e+04 1.469903650646677704e+02 4.522592603500521058e+00 2.228411110376234294e+00
1.245248302648984406e+01 1.477063796998532474e+01 2.511486320606049816e+01 7.431706444557822522e+01 5.379997209822815785e+04 1.496872948925255855e+02 4.520657957000258520e+00 2.233951488768905591e+00
1.372572902778750148e+01 1.363650746956249904e+01 2.513873889373891757e+01 7.465409998562618910e+01 5.379995612037358660e+04 1.454296911548262017e+02 4.527085761283046850e+00 2.236174496921701671e+00
1.424324475236757159e+01 1.329888494439355640e+01 2.502996547313393805e+01 7.422162566407229178e+01 5.379999620600953494e+04 1.483710233852398801e+02 4.542456124603209133e+00 2.222889014465348811e+00
1.442848783809188262e+01 1.173857954438656748e+01 2.482592242421810980e+01 7.498308831188573720e+01 5.380008753735477512e+04 1.471666991183404605e+02 4.453929272699682862e+00 2.262560839224869724e+00
1.402399133440499313e+01 1.351186421920140290e+01 2.497873541765304850e+01 1.058771000608312818e+02 5.380000028749722696e+04 1.447306007730884403e+02 4.538902869956831232e+00 2.230939287717252917e+00
1.295260402859290849e+01 1.498989757779484400e+01 2.540280541485042676e+01 1.054193104745740470e+02 5.379983255240914150e+04 1.498091624076123765e+02 4.572131157151162029e+00 2.207331748593407195e+00
1.388725556296740216e+01 1.386111745662583061e+01 2.507782024301188528e+01 7.405300072970231895e+01 5.379996375034574157e+04 1.430309370966758138e+02 4.552957901115247452e+00 2.219287595310667882e+00
1.445307039379347636e+01 1.304108380623701180e+01 2.499442283826934741e+01 7.400082552071701514e+01 5.379999553711712360e+04 1.449004306604088583e+02 4.540934698737215669e+00 2.221517969844768459e+00
1.413934669340094175e+01 1.371783415425071340e+01 2.517309698241960092e+01 1.054833365626365520e+02 5.379995034341995779e+04 1.496138842228973544e+02 4.560727042040406687e+00 2.211497512764810214e+00
1.335118984087365135e+01 1.431660982592623554e+01 2.528539216672358236e+01 1.050353261373901859e+02 5.379987161778930749e+04 1.418217235116285906e+02 4.547338069421410722e+00 2.217773292063674351e+00
1.353075245398177273e+01 1.450278221715963234e+01 2.514706964833422020e+01 1.057029838272575972e+02 5.379999227451421757e+04 1.443191543088313438e+02 4.570227684198362006e+00 2.216500395136695278e+00
1.487527526407507494e+01 1.213084751037619569e+01 2.481950026734220316e+01 7.418776168947427152e+01 5.380009251242660685e+04 1.464955457645326078e+02 4.510497916024958087e+00 2.233187647111611440e+00
1.498350144328666467e+01 1.283667491907708502e+01 2.519040946873909093e+01 7.448769455370788251e+01 5.379993001831608126e+04 1.479216480538818530e+02 4.568112934680596204e+00 2.204439699166218514e+00
1.360658277284165862e+01 1.433788362496294866e+01 2.509274023719035895e+01 7.440429329039473316e+01 5.379996638945242012e+04 1.454573103219216819e+02 4.570805367500536676e+00 2.207974496209185844e+00
1.440595382785146583e+01 1.310962183867572151e+01 2.483405534416717586e+01 7.415935576993192058e+01 5.380008573053698638e+04 1.471710335757989014e+02 4.539881335820179942e+00 2.218218279630256085e+00
1.375313660793707982e+01 1.344749487659911935e+01 2.504174347135593237e+01 7.497970777127400765e+01 5.379998731100967416e+04 1.468604990697093911e+02 4.513906108982897791e+00 2.235256829197489470e+00
1.313566281600812502e+01 1.427697776849757894e+01 2.502965783341716133e+01 7.446031591623885504e+01 5.379995264323242009e+04 1.450958439065514369e+02 4.531682225652035712e+00 2.225336861714536152e+00
1.458199814442835240e+01 1.295860430483698522e+01 2.489860319040237613e+01 1.057282827756414179e+02 5.380006071825652180e+04 1.462733275747118284e+02 4.540013161419880205e+00 2.223866019886387324e+00
1.360449723568283353e+01 1.324775368297277112e+01 2.511089224396325648e+01 1.049682531693784711e+02 5.379994627609559393e+04 1.488093976081030689e+02 4.491812714105127391e+00 2.250058752365381665e+00
1.420130964581974453e+01 1.279002382706393881e+01 2.489118693743197497e+01 1.055400153362549105e+02 5.380007498006480455e+04 1.408876446002798275e+02 4.505808093158442773e+00 2.240241728248898223e+00
1.417020974226992180e+01 1.368631907677650261e+01 2.490263946855696986e+01 1.066040032940967421e+02 5.380003433143971051e+04 1.456252131154681138e+02 4.560719224054497367e+00 2.219061560071300843e+00
1.442186355566260403e+01 1.273255592531098301e+01 2.490793317345146818e+01 7.436907978080883197e+01 5.380001726022855291e+04 1.409922089582849765e+02 4.513692551057832070e+00 2.235035163144632353e+00
1.385997651031875222e+01 1.428783691149380530e+01 2.502617338483765153e+01 7.344634728290660064e+01 5.380001094787525653e+04 1.455376849600676508e+02 4.582823110486240026e+00 2.202676268442922414e+00
1.450341336514347645e+01 1.276266473064439921e+01 2.482820279101994032e+01 7.390269342925328999e+01 5.380009618007452082e+04 1.408112932171248985e+02 4.519101869118489212e+00 2.234276962307188530e+00
1.367645476561283147e+01 1.400455864818928120e+01 2.522003319306136859e+01 7.425650417309736895e+01 5.379990002840090165e+04 1.451534552326675396e+02 4.553087967771912048e+00 2.218293739992454938e+00
1.476069054699219052e+01 1.207345329988977056e+01 2.499932355793167105e+01 1.049079486777192329e+02 5.380001137735578232e+04 1.460110482509785186e+02 4.498873599087870545e+00 2.240020461414016673e+00
1.405345847616914412e+01 1.360233114134992505e+01 2.521952946163039044e+01 7.466762257898813004e+01 5.379995253009066073e+04 1.463655113914419985e+02 4.544837600395000621e+00 2.227001635690082360e+00
1.295799171202290268e+01 1.450711619682346409e+01 2.524156548790033483e+01 7.469401467692100027e+01 5.379984460351062444e+04 1.400999662708354947e+02 4.535280370797126537e+00 2.227487085116757193e+00
1.340664420991044459e+01 1.405922838177050238e+01 2.514985614246610979e+01 1.052763960103750236e+02 5.379994056796126097e+04 1.370911000717476327e+02 4.534942451143210818e+00 2.225587324064900230e+00
1.404012152730844143e+01 1.210400195520058375e+01 2.492457081490312021e+01 7.477929857558397941e+01 5.380007694691591314e+04 1.410490508461585080e+02 4.447768748516593540e+00 2.268383957781725080e+00
1.415131822928563921e+01 1.263753333121942823e+01 2.505006960785727088e+01 7.523812404993667258e+01 5.380002270806793240e+04 1.496987575400425499e+02 4.493816831070008178e+00 2.244174870101220964e+00
1.474506456207070570e+01 1.207603217108346882e+01 2.488658426827381120e+01 7.526610041345827540e+01 5.380005539339637471e+04 1.425333363878810644e+02 4.493165217818156698e+00 2.241883977920854587e+00
1.257631513745764096e+01 1.377012489562629582e+01 2.477651898494778493e+01 7.441514069234172268e+01 5.380010841325172805e+04 1.477632986054867672e+02 4.458266102936788933e+00 2.264779345567998980e+00
1.425079421488809572e+01 1.321786079701897876e+01 2.508714747972670622e+01 1.058718294179911226e+02 5.379994109096805187e+04 1.398348885331736255e+02 4.529511639343926532e+00 2.233685733355389669e+00
