weight logl star1_rad star2_rad bin_period bin_inc bin_t0 bin_rv_com ext_f153m ext_alpha
0.000000000000000000e+00 -1.000000000000000053e+300 2.479382362475509893e+01 1.366867698973206657e+01 2.593199932273411790e+01 3.482732727897948166e+01 5.379759293280846032e+04 1.879746788529413379e+02 4.359153574605835857e+00 2.216936907085319763e+00
0.000000000000000000e+00 -1.000000000000000053e+300 2.459879555642651638e+01 9.811832576013452822e+00 2.453946875812474460e+01 4.274408610636015027e+01 5.380342522461330373e+04 1.605083525803333089e+02 4.876587279260163221e+00 2.226208568064054649e+00
0.000000000000000000e+00 -1.000000000000000053e+300 2.469085661855375236e+01 1.130277680473858481e+01 2.573975438313119568e+01 1.756443532137330621e-01 5.379814986009040149e+04 1.291804587241864510e+02 5.463085929864227808e+00 2.245558384237507088e+00
0.000000000000000000e+00 -1.000000000000000053e+300 2.405283805561522925e+01 1.065161230249783131e+01 2.453937756744331367e+01 9.370560410613821034e+01 5.379830815050044475e+04 1.176882659284177066e+02 4.450909458777969618e+00 2.243232352994299017e+00
0.000000000000000000e+00 -1.000000000000000053e+300 1.842875443158525428e+01 1.320652578920475051e+01 2.520129810753068611e+01 1.471054413101387865e+02 5.380441785746403184e+04 1.958618797395945990e+02 5.627869879424701516e+00 2.255836466663581952e+00
0.000000000000000000e+00 -1.000000000000000053e+300 2.480073389807708750e+01 1.494908556069928096e+01 2.554034729332899190e+01 8.845307438372937270e+01 5.380183421702660416e+04 1.848430508713838663e+02 4.478907106535607419e+00 2.211451587449874800e+00
0.000000000000000000e+00 -1.000000000000000053e+300 2.393672856558873718e+01 1.153865832398072122e+01 2.489931092748357599e+01 6.814775579805122163e+01 5.380342925904139702e+04 1.855801686703945563e+02 5.624305179431718926e+00 2.263082765532228091e+00
0.000000000000000000e+00 -1.000000000000000053e+300 1.849072361253367092e+01 1.442505074498574125e+01 2.514094767911809924e+01 9.638157736680199150e+01 5.380336699774942099e+04 1.841140435253499845e+02 5.653911184972557180e+00 2.325263217207595545e+00
0.000000000000000000e+00 -1.000000000000000053e+300 1.791970349998785750e+01 1.119869685579281615e+01 2.569034926028523103e+01 9.211564733766057600e+01 5.380063926881442603e+04 1.145222979126454419e+02 4.586129372383016545e+00 2.256050667504547302e+00
0.000000000000000000e+00 -1.000000000000000053e+300 1.795131321940097635e+01 8.882402721769395271e+00 2.402321117120242988e+01 4.340839978090202322e+01 5.379874804224706895e+04 1.846893471011087513e+02 5.206251236552022377e+00 2.241255209729514419e+00
0.000000000000000000e+00 -1.000000000000000053e+300 2.398962534367611354e+01 1.089613181589402124e+01 2.565292827758630168e+01 4.350939979247220890e+01 5.380194907741632778e+04 1.185030721023418891e+02 4.608460611861582734e+00 2.167896723314129748e+00
0.000000000000000000e+00 -1.000000000000000053e+300 1.854613505045787392e+01 1.098963403322946419e+01 2.489341389793728965e+01 1.041154711858109749e+02 5.379598083838438470e+04 1.684582251645343263e+02 4.617383392296458666e+00 2.242271255280071429e+00
0.000000000000000000e+00 -1.000000000000000053e+300 2.461125456894841079e+01 1.296964613835779900e+01 2.554297323493132765e+01 1.945284774290351137e+01 5.379999048245334416e+04 1.245105684144918428e+02 4.160784155493153058e+00 2.277510629368620698e+00
0.000000000000000000e+00 -1.000000000000000053e+300 2.456308689678245472e+01 1.302238744671437232e+01 2.581344749767332658e+01 1.717925162866360012e+01 5.379509871942404425e+04 1.159362014251532571e+02 4.826941927967642876e+00 2.247906106328623643e+00
0.000000000000000000e+00 -1.000000000000000053e+300 2.445864084742520106e+01 1.053967633237378365e+01 2.459335037456773421e+01 9.456887631453990650e+01 5.379645896113766503e+04 1.320744543406753451e+02 4.113420933383358680e+00 2.204149287412214164e+00
0.000000000000000000e+00 -1.000000000000000053e+300 2.297252597115250694e+01 1.462583871760642040e+01 2.408581034703926704e+01 6.296547254962349882e+01 5.380469650164164341e+04 1.702387649665824938e+02 4.843874001378133620e+00 2.204238010704553385e+00
0.000000000000000000e+00 -1.000000000000000053e+300 1.834740665836925189e+01 1.292201079246981088e+01 2.518797700894717195e+01 8.384448547591915712e+01 5.380213831027011474e+04 1.953248301111838146e+02 4.291859113373580392e+00 2.204679042543123302e+00
0.000000000000000000e+00 -1.000000000000000053e+300 2.281786176335026184e+01 1.370354396508324690e+01 2.402791471158075964e+01 1.143665415754561110e+01 5.380359682626893482e+04 1.536192965826996328e+02 5.720275823527852133e+00 2.277881798793596868e+00
0.000000000000000000e+00 -1.000000000000000053e+300 2.410533023814213749e+01 1.463301268857320281e+01 2.423315162812171764e+01 1.424391916294106863e+02 5.380171353605164768e+04 1.821233981988129074e+02 4.541641994486969480e+00 2.208801731316313521e+00
0.000000000000000000e+00 -1.000000000000000053e+300 2.350733116808733314e+01 1.446885147853323872e+01 2.447581822685402742e+01 6.501656347921979773e+01 5.380431935468052689e+04 1.034043107216606785e+02 5.047635461744533814e+00 2.279802699224490858e+00
