weight logl star1_rad star2_rad bin_period bin_inc bin_t0 bin_rv_com ext_f153m ext_alpha
0.000000000000000000e+00 -1.000000000000000053e+300 9.862549083170065733e-01 8.098109985331523042e-01 9.659996613670597254e-01 1.934851515498859920e-01 2.592932808462337091e-01 8.797467885294133483e-01 1.795767873029180395e-01 3.316228359487959354e-01
0.000000000000000000e+00 -1.000000000000000053e+300 9.732530370951010257e-01 2.588332251447789112e-01 2.697343790623719650e-01 2.374671450353341706e-01 8.425224613301655063e-01 6.050835258033331332e-01 4.382936396300816106e-01 4.497151451385571486e-01
0.000000000000000000e+00 -1.000000000000000053e+300 9.793904412369167645e-01 4.718252578197978941e-01 8.698771915655973963e-01 9.758019622985170116e-04 3.149860090397894608e-01 2.918045872418644215e-01 7.315429649321141259e-01 6.979846121542659931e-01
0.000000000000000000e+00 -1.000000000000000053e+300 9.368558703743485871e-01 3.788017574996900283e-01 2.696887837216576100e-01 5.205866894785455834e-01 3.308150500441698894e-01 1.768826592841771239e-01 2.254547293889849202e-01 6.704218918806567062e-01
0.000000000000000000e+00 -1.000000000000000053e+300 5.619169621056836483e-01 7.437893984578216600e-01 6.006490537653422779e-01 8.172524517229933227e-01 9.417857464033918546e-01 9.586187973959460207e-01 8.139349397123508689e-01 8.054403328738986012e-01
0.000000000000000000e+00 -1.000000000000000053e+300 9.867155932051391298e-01 9.927265086713259468e-01 7.701736466644958368e-01 4.914059687984965175e-01 6.834217026606811407e-01 8.484305087138385160e-01 2.394535532678038203e-01 2.681952537486773647e-01
0.000000000000000000e+00 -1.000000000000000053e+300 9.291152377059158640e-01 5.055226177115316188e-01 4.496554637417877753e-01 3.785986433225068115e-01 8.429259041400262165e-01 8.558016867039456299e-01 8.121525897158595741e-01 8.649340489562294954e-01
0.000000000000000000e+00 -1.000000000000000053e+300 5.660482408355779205e-01 9.178643921408201622e-01 5.704738395590487343e-01 5.354532075933443602e-01 8.366997749424571751e-01 8.411404352535000184e-01 8.269555924862783680e-01 9.992519541911283332e-01
0.000000000000000000e+00 -1.000000000000000053e+300 5.279802333325237518e-01 4.569566936846880534e-01 8.451746301426159569e-01 5.117535963203365679e-01 5.639268814428338716e-01 1.452229791264544323e-01 2.930646861915082724e-01 8.074001488773215884e-01
0.000000000000000000e+00 -1.000000000000000053e+300 5.300875479600650753e-01 1.260575316813421498e-01 1.160558560121549565e-02 2.411577765605668056e-01 3.748042247066797339e-01 8.468934710110875841e-01 6.031256182760114104e-01 6.462343400517350789e-01
0.000000000000000000e+00 -1.000000000000000053e+300 9.326416895784075400e-01 4.137331165562887492e-01 8.264641387931501715e-01 2.417188877359567334e-01 6.949077416324380696e-01 1.850307210234188871e-01 3.042303059307914781e-01 1.922105870336388023e-02
0.000000000000000000e+00 -1.000000000000000053e+300 5.697423366971916536e-01 4.270905761756377261e-01 4.467069489686447126e-01 5.784192843656165151e-01 9.808383843845158712e-02 6.845822516453431428e-01 3.086916961482291111e-01 6.587455227041413286e-01
0.000000000000000000e+00 -1.000000000000000053e+300 9.740836379298940528e-01 7.099494483368282705e-01 7.714866174656638265e-01 1.080713763494639545e-01 4.990482453340964186e-01 2.451056841449185120e-01 8.039207774657641803e-02 9.433675911955388127e-01
0.000000000000000000e+00 -1.000000000000000053e+300 9.708724597854969662e-01 7.174839209591962197e-01 9.067237488366629572e-01 9.544028682590888213e-02 9.871942404205302779e-03 1.593620142515325133e-01 4.134709639838214379e-01 7.247029813913767882e-01
0.000000000000000000e+00 -1.000000000000000053e+300 9.639093898283467299e-01 3.628109046248261249e-01 2.966751872838674364e-01 5.253826461918883473e-01 1.458961137662121432e-01 3.207445434067532908e-01 5.671046669167933985e-02 1.944289494854786193e-01
0.000000000000000000e+00 -1.000000000000000053e+300 8.648350647435005811e-01 9.465483882294886131e-01 4.290517351963396564e-02 3.498081808312416552e-01 9.696501641641231961e-01 7.023876496658248980e-01 4.219370006890668101e-01 1.952439262787286633e-01
0.000000000000000000e+00 -1.000000000000000053e+300 5.564937772246167924e-01 7.031443989242587289e-01 5.939885044735865316e-01 4.658026970884397988e-01 7.138310270113888967e-01 9.532483011118382255e-01 1.459295566867903071e-01 1.993257857688115475e-01
0.000000000000000000e+00 -1.000000000000000053e+300 8.545241175566841152e-01 8.147919950118924781e-01 1.395735579037926666e-02 6.353696754192006413e-02 8.596826268936014204e-01 5.361929658269964927e-01 8.601379117639260663e-01 9.447622964474727825e-01
0.000000000000000000e+00 -1.000000000000000053e+300 9.403553492094758326e-01 9.475732412247431791e-01 1.165758140608588178e-01 7.913288423856149612e-01 6.713536051650419445e-01 8.212339819881290248e-01 2.708209972434846291e-01 2.399047608487944183e-01
0.000000000000000000e+00 -1.000000000000000053e+300 9.004887445391556167e-01 9.241216397904628010e-01 2.379091134270142627e-01 3.612031304401099874e-01 9.319354680528872947e-01 3.404310721660674943e-02 5.238177308722666847e-01 9.515518232304144286e-01
0.000000000000000000e+00 -1.000000000000000053e+300 8.629953160899899167e-01 9.789849503272007869e-02 1.155893214531398261e-01 7.588098143346830859e-01 1.048667557143081464e-01 1.609104547479557334e-01 6.572555012823503295e-01 9.433179606442224641e-01
